127.0.0.1 - - [02/Oct/2025:15:36:06 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:36:07 +0900] "GET /BackEnd20240901Yun/LoginForm.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:36:07 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:36:10 +0900] "GET /BackEnd20240901Yun/login.do?id=1234&pw=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:36:10 +0900] "GET /BackEnd20240901Yun/loginForm.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:36:17 +0900] "GET /BackEnd20240901Yun/login.do?id=dong&pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:36:17 +0900] "GET /BackEnd20240901Yun/loginForm.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:37:10 +0900] "GET /BackEnd20240901Yun/loginForm.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:37:11 +0900] "GET /BackEnd20240901Yun/loginForm.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:37:13 +0900] "GET /BackEnd20240901Yun/login.do?id=dong&pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:37:13 +0900] "GET /BackEnd20240901Yun/LoginForm.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:37:14 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 500 1496
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:38:21 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 500 1496
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:39:36 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 500 1496
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:40:25 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 500 1496
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:40:28 +0900] "GET /BackEnd20240901Yun/ HTTP/1.1" 200 413
